SerialNo,Id,DeptSn,StateOfOrigin,Sex,Age,Engscore,Subj2,Subj2Score,Subj3,Subj3Score,Subj4,Subj4Score,TotalScore,F12tChoice,faculty,dept
186,2163,23,1,1,16,46,7,68,5,48,13,54,216,ABUJA,Faculty of Arts,25
187,2164,24,22,1,19,55,7,67,5,52,13,41,215,ABUJA,Faculty of Education,7
188,2165,25,16,1,18,62,4,50,5,54,13,49,215,ABUJA,Faculty of Arts,25
189,2166,26,14,1,21,58,7,55,5,54,13,48,215,ABUJA,Faculty of Arts,25
190,2167,27,23,2,16,81,7,47,5,52,13,34,214,ABUJA,Faculty of Arts,25
191,2168,28,16,2,20,58,7,38,5,54,13,64,214,ABUJA,Faculty of Arts,25
192,2169,29,12,1,21,64,7,40,5,52,13,58,214,ABUJA,Faculty of Arts,25
193,2170,30,12,2,18,46,7,64,5,52,13,52,214,ABUJA,Faculty of Social Science,21
194,2171,31,16,2,17,52,4,55,5,50,13,56,213,ABUJA,Faculty of Arts,25
195,2172,32,7,1,19,45,7,46,5,52,13,70,213,ABUJA,Faculty of Arts,25
196,2173,33,30,1,17,56,7,54,5,48,13,54,212,ABUJA,Faculty of Arts,25
197,2174,34,7,1,19,74,7,49,5,43,13,46,212,ABUJA,Faculty of Arts,25
198,2175,35,12,2,20,62,4,52,5,48,13,49,211,ABUJA,Faculty of Arts,25
199,2177,37,8,2,17,48,7,56,5,58,13,48,210,ABUJA,Faculty of Arts,25
200,2178,38,4,1,37,56,4,53,16,55,13,46,210,ABUJA,Faculty of Arts,25
201,2179,39,16,2,22,58,7,56,3,38,13,58,210,ABUJA,Faculty of Arts,25
202,2180,40,30,1,22,58,5,48,13,54,1,50,210,ABUJA,Faculty of Arts,25
203,2181,41,27,2,20,60,7,43,13,51,15,55,209,ABUJA,Faculty of Arts,25
204,2182,42,14,1,23,51,4,42,5,57,13,59,209,ABUJA,Faculty of Arts,25
205,2183,43,28,2,19,64,7,50,14,40,13,54,208,ABUJA,Faculty of Arts,25
206,2184,44,7,2,21,52,7,52,5,47,13,57,208,ABUJA,Faculty of Arts,25
207,2185,45,10,1,20,56,7,50,5,48,13,54,208,ABUJA,Faculty of Arts,15
208,2186,46,30,1,21,32,7,68,5,64,13,44,208,ABUJA,Faculty of Arts,25
209,2187,47,16,2,24,46,7,61,14,52,13,48,207,ABUJA,Faculty of Arts,25
210,2188,48,16,2,27,51,7,54,5,50,13,52,207,ABUJA,Faculty of Arts,25
211,2189,49,4,1,25,58,11,60,4,44,13,44,206,ABUJA,Faculty of Arts,25
212,2190,50,31,2,19,56,4,54,5,46,13,50,206,ABUJA,Faculty of Arts,25
213,2191,51,14,2,17,46,7,50,5,54,13,56,206,ABUJA,Faculty of Arts,25
214,2192,52,7,2,23,58,7,50,5,54,13,44,206,ABUJA,Faculty of Arts,25
215,2194,54,27,1,20,48,4,53,5,52,13,51,204,ABUJA,Faculty of Arts,25
216,2195,55,7,1,28,57,7,49,5,54,13,44,204,ABUJA,Faculty of Arts,25
217,2196,56,37,1,20,53,7,48,5,47,13,56,204,ABUJA,Faculty of Arts,25
218,2197,57,1,1,16,54,4,48,5,52,13,50,204,ABUJA,Faculty of Arts,25
219,2198,58,1,1,19,67,7,46,5,45,13,46,204,ABUJA,Faculty of Education,7
220,2199,59,14,2,20,54,7,55,5,52,13,43,204,ABUJA,Faculty of Arts,25
221,2201,61,13,2,16,58,4,40,5,46,13,58,202,ABUJA,Faculty of Arts,25
222,2202,62,4,2,19,46,7,44,5,54,13,58,202,ABUJA,Faculty of Arts,25
223,2203,63,12,2,15,46,7,58,5,48,13,50,202,ABUJA,Faculty of Arts,25
224,2204,64,22,1,23,44,7,58,5,56,13,44,202,ABUJA,Faculty of Arts,25
225,2205,65,12,2,20,52,4,38,5,52,13,60,202,ABUJA,Faculty of Arts,25
226,2207,67,7,1,20,52,17,45,5,48,13,57,202,ABUJA,Faculty of Arts,25
227,2208,68,22,2,18,45,4,61,13,51,18,45,202,ABUJA,Faculty of Arts,25
228,2209,69,2,2,21,54,7,51,5,47,13,48,200,ABUJA,Faculty of Education,7
229,2210,70,23,1,18,48,7,38,5,56,13,58,200,ABUJA,Faculty of Arts,15
230,2214,74,7,1,24,51,6,50,5,52,13,46,199,ABUJA,Faculty of Arts,15
231,2216,76,2,2,18,42,7,56,5,46,13,54,198,ABUJA,Faculty of Arts,25
232,2217,77,22,2,24,56,4,46,5,44,13,52,198,ABUJA,Faculty of Arts,25
233,2218,78,11,2,18,58,7,54,5,20,13,66,198,ABUJA,Faculty of Arts,25
234,2223,83,10,2,18,54,7,40,4,56,13,48,198,ABUJA,Faculty of Arts,25
235,2229,89,32,2,21,54,4,46,5,58,13,38,196,ABUJA,Faculty of Arts,25
236,2232,92,3,1,22,60,7,56,5,36,13,44,196,ABUJA,Faculty of Arts,25
237,2243,103,9,2,17,54,7,48,5,52,13,41,195,ABUJA,Faculty of Arts,25
238,2244,104,23,2,17,45,5,52,13,52,15,45,194,ABUJA,Faculty of Arts,25
239,2247,107,18,1,23,48,7,42,5,52,13,52,194,ABUJA,Faculty of Arts,25
240,2255,115,9,1,17,54,7,38,5,48,13,52,192,ABUJA,Faculty of Arts,25
241,2269,129,11,2,21,48,11,52,5,48,13,44,192,ABUJA,Faculty of Arts,25
242,2270,130,2,1,19,47,7,39,5,55,13,51,192,ABUJA,Faculty of Arts,25
243,2271,131,31,2,23,56,4,59,5,43,13,33,191,ABUJA,Faculty of Arts,25
244,2272,132,28,2,16,56,7,50,5,46,13,38,190,ABUJA,Faculty of Arts,25
245,2277,137,11,2,20,50,7,40,14,46,13,54,190,ABUJA,Faculty of Arts,25
246,2278,138,9,2,17,56,7,38,5,54,13,42,190,ABUJA,Faculty of Arts,25
247,2279,139,31,1,26,58,4,34,5,54,13,44,190,ABUJA,Faculty of Arts,25
248,2289,149,29,2,18,62,7,50,5,32,13,44,188,ABUJA,Faculty of Arts,25
249,2293,153,18,2,17,38,7,44,5,62,13,44,188,ABUJA,Faculty of Arts,25
250,2299,159,37,2,16,44,7,44,5,54,13,46,188,ABUJA,Faculty of Arts,25
251,2310,170,37,1,23,46,14,52,12,38,13,50,186,ABUJA,Faculty of Arts,25
252,2311,171,37,2,16,58,7,42,5,40,13,44,184,ABUJA,Faculty of Arts,25
253,2312,172,5,2,19,48,7,50,5,42,13,44,184,ABUJA,Faculty of Arts,25
254,2313,173,25,1,19,48,7,42,5,54,13,40,184,ABUJA,Faculty of Arts,25
255,2314,174,23,1,16,46,7,54,5,40,13,44,184,ABUJA,Faculty of Arts,25
256,2315,175,18,2,18,46,7,44,5,50,13,44,184,ABUJA,Faculty of Arts,25
257,2319,179,25,1,17,44,7,43,5,54,13,43,184,ABUJA,Faculty of Education,7
258,2324,184,24,1,24,46,4,54,5,40,13,42,182,ABUJA,Faculty of Arts,25
259,2340,200,8,2,22,60,7,38,5,46,13,38,182,ABUJA,Faculty of Arts,25
260,2352,212,6,2,18,38,7,38,5,44,13,60,180,ABUJA,Faculty of Arts,25
261,2359,1,10,1,25,44,7,61,5,50,13,56,211,ABUJA,Faculty of Arts,25
262,2360,2,30,1,22,50,7,44,5,52,13,50,196,ABUJA,Faculty of Arts,19
263,2361,3,12,1,17,56,7,48,5,46,13,46,196,ABUJA,Faculty of Arts,19
264,2363,5,22,1,37,47,7,48,6,42,5,50,187,ABUJA,Faculty of Arts,19
265,2364,6,7,2,20,44,7,42,5,60,13,38,184,ABUJA,Faculty of Arts,19
266,2365,7,28,1,24,46,7,62,5,40,13,34,182,ABUJA,Faculty of Arts,19
267,2366,8,31,1,20,44,7,56,14,38,13,44,182,ABUJA,Faculty of Arts,19
268,2759,1,13,2,16,67,7,51,5,69,13,80,267,ABUJA,Faculty of Arts,15
269,2760,2,22,2,19,49,7,60,5,52,13,59,220,ABUJA,Faculty of Arts,15
270,2761,3,3,2,18,50,7,46,5,52,13,72,220,ABUJA,Faculty of Arts,15
271,2762,4,1,1,18,64,7,54,5,52,13,50,220,ABUJA,Faculty of Arts,15
272,2763,5,22,2,22,35,4,45,5,79,13,60,219,ABUJA,Faculty of Arts,15
273,2764,6,7,2,16,62,7,53,14,44,13,59,218,ABUJA,Faculty of Arts,15
274,2765,7,18,2,20,57,7,58,5,54,13,48,217,ABUJA,Faculty of Arts,15
275,2766,8,16,1,22,58,4,46,5,62,1,50,216,ABUJA,Faculty of Arts,15
276,2767,9,37,1,21,45,14,47,12,50,13,73,215,ABUJA,Faculty of Arts,15
277,2768,10,11,1,25,66,4,56,5,45,13,47,214,ABUJA,Faculty of Arts,15
278,2769,11,4,2,19,52,7,50,5,68,13,44,214,ABUJA,Faculty of Arts,15
279,2770,12,1,1,22,46,7,70,5,52,13,46,214,ABUJA,Faculty of Arts,15
280,2771,13,3,2,22,62,17,59,14,46,13,46,213,ABUJA,Faculty of Arts,15
281,2772,14,33,1,21,58,7,52,3,46,5,56,212,ABUJA,Faculty of Arts,15
282,2773,15,37,1,28,58,6,58,14,54,1,42,212,ABUJA,Faculty of Arts,15
283,2774,16,10,2,17,56,7,51,5,51,13,54,212,ABUJA,Faculty of Arts,15
284,2775,17,12,1,21,80,7,46,4,48,5,38,212,ABUJA,Faculty of Arts,15
285,2776,18,1,2,21,62,7,48,5,52,13,48,210,ABUJA,Faculty of Arts,15
286,2777,19,29,1,18,36,7,52,5,64,13,58,210,ABUJA,Faculty of Arts,15
287,2778,20,12,2,24,66,7,40,5,54,13,46,206,ABUJA,Faculty of Arts,15
288,2779,21,32,1,21,62,4,50,6,44,5,48,204,ABUJA,Faculty of Arts,15
289,2780,22,7,1,23,53,7,46,5,54,13,48,201,ABUJA,Faculty of Arts,15
290,2781,23,13,2,17,56,4,52,5,41,13,51,200,ABUJA,Faculty of Arts,15
291,2782,24,9,1,18,56,7,34,5,52,13,56,198,ABUJA,Faculty of Arts,15
292,2783,25,30,1,19,36,7,54,5,54,13,52,196,ABUJA,Faculty of Arts,15
293,2784,26,22,2,26,56,7,50,5,48,13,42,196,ABUJA,Faculty of Arts,15
